idserie,0, true last 0.1892792557355013 forecast,0.01661647768714003, error 0.17266277804836128 forecast value = 16.112505607043925 actual 15.0 error 1.112505607043925
idserie,1, true last 0.1892792557355013 forecast,0.001003409183075369, error 0.18827584655242594 forecast value = 11.487025522009516 actual 11.270993849543272 error 0.21603167246624366
idserie,2, true last 0.1892792557355013 forecast,0.007446555522971838, error 0.18183270021252948 forecast value = 15.800991360497493 actual 15.84266825529546 error -0.04167689479796621
idserie,3, true last 0.1892792557355013 forecast,0.03120019523531235, error 0.15807906050018897 forecast value = 34.40480221945317 actual 31.112706712301872 error 3.292095507151295
idserie,4, true last 0.1892792557355013 forecast,-0.014843706772179208, error 0.20412296250768053 forecast value = 5.7382000501479835 actual 5.989896689538711 error -0.25169663939072784
idserie,5, true last 0.1892792557355013 forecast,0.04768947833842565, error 0.14158977739707565 forecast value = 46.59035371246265 actual 40.37940285191618 error 6.210950860546468
idserie,6, true last 0.1892792557355013 forecast,0.0036308337605577157, error 0.18564842197494358 forecast value = 9.066411817677698 actual 8.756797768452286 error 0.3096140492254129
idserie,7, true last 0.1892792557355013 forecast,0.004821396124751905, error 0.1844578596107494 forecast value = 12.012701953182939 actual 11.834126516192358 error 0.17857543699058098
idserie,8, true last 0.1892792557355013 forecast,0.016941410251680483, error 0.17233784548382083 forecast value = 17.757379273200264 actual 16.890558149483716 error 0.866821123716548
idserie,9, true last 0.1892792557355013 forecast,0.017927627700566755, error 0.17135162803493456 forecast value = 21.167154449253037 actual 20.06435434069786 error 1.1028001085551757
idserie,10, true last 0.1892792557355013 forecast,0.02779964799239983, error 0.16147960774310147 forecast value = 27.877288169336747 actual 25.38436797088328 error 2.4929201984534686
idserie,11, true last 0.1892792557355013 forecast,-0.011262054501919461, error 0.20054131023742078 forecast value = 7.107524993963082 actual 7.368293568847813 error -0.2607685748847306
idserie,12, true last 0.1892792557355013 forecast,0.04870849568205175, error 0.14057076005344954 forecast value = 56.252633975744644 actual 47.896503031026135 error 8.356130944718508
idserie,13, true last 0.1892792557355013 forecast,0.007427570126905356, error 0.18185168560859594 forecast value = 10.811864093647122 actual 10.571743046087796 error 0.24012104755932562
idserie,14, true last 0.1892792557355013 forecast,0.0313237345866205, error 0.1579555211488808 forecast value = 32.5948547188954 actual 30.428875174827436 error 2.1659795440679623
idserie,15, true last 0.1892792557355013 forecast,0.03241133405379571, error 0.1568679216817056 forecast value = 26.48514152812158 actual 23.981426420161384 error 2.503715107960197
idserie,16, true last 0.1892792557355013 forecast,-0.0027942816854479692, error 0.19207353742094926 forecast value = 8.813096376732883 actual 8.82365251686439 error -0.010556140131507519
idserie,17, true last 0.1892792557355013 forecast,0.005585095471385913, error 0.1836941602641154 forecast value = 13.174437550286875 actual 13.010537279994441 error 0.1639002702924337
idserie,18, true last 0.1892792557355013 forecast,0.024814979780791276, error 0.16446427595471003 forecast value = 19.96817202093667 actual 18.509029192655078 error 1.4591428282815926
idserie,19, true last 0.1892792557355013 forecast,-0.0006025117006923233, error 0.18988176743619362 forecast value = 11.567609001212015 actual 11.381806166420395 error 0.18580283479161963
idserie,20, true last 0.1892792557355013 forecast,0.06871114651263113, error 0.12056810922287017 forecast value = 26.897496646809888 actual 25.810344022073252 error 1.0871526247366354
idserie,21, true last 0.1892792557355013 forecast,0.015678438981017957, error 0.17360081675448336 forecast value = 16.4568487639469 actual 15.802585245842538 error 0.6542635181043632
idserie,22, true last 0.1892792557355013 forecast,0.003809035960220232, error 0.18547021977528108 forecast value = 12.280958110208738 actual 12.165724723509395 error 0.11523338669934269
idserie,23, true last 0.1892792557355013 forecast,-0.0015401350798434983, error 0.1908193908153448 forecast value = 10.797719580241703 actual 10.821629951171893 error -0.02391037093019044
idserie,24, true last 0.1892792557355013 forecast,-0.006355380737981459, error 0.19563463647348275 forecast value = 9.12294798159653 actual 9.246084856890231 error -0.12313687529370121
idserie,25, true last 0.1892792557355013 forecast,-0.0064084569628665745, error 0.19568771269836788 forecast value = 6.333203173671657 actual 6.14153070521258 error 0.19167246845907648
idserie,26, true last 0.1892792557355013 forecast,-0.006177189523242881, error 0.1954564452587442 forecast value = 7.576919943967686 actual 7.6106139202485465 error -0.03369397628086013
idserie,27, true last 0.1892792557355013 forecast,0.002064787349962619, error 0.18721446838553868 forecast value = 11.162776456310592 actual 11.109030790534009 error 0.05374566577658335
idserie,28, true last 0.1892792557355013 forecast,0.027295791763055233, error 0.16198346397244606 forecast value = 27.292243591931456 actual 25.18872819001377 error 2.1035154019176865
idserie,29, true last 0.1892792557355013 forecast,0.0022841872854220905, error 0.1869950684500792 forecast value = 11.21543064723511 actual 11.161657013206838 error 0.05377363402827129
idserie,30, true last 0.1892792557355013 forecast,0.010056155394762486, error 0.17922310034073882 forecast value = 15.601119824902778 actual 15.096839322180298 error 0.5042805027224802
idserie,31, true last 0.1892792557355013 forecast,0.01682678644581451, error 0.1724524692896868 forecast value = 16.869853959971056 actual 16.521767020697755 error 0.34808693927330125
idserie,32, true last 0.1892792557355013 forecast,0.014082212865176524, error 0.17519704287032478 forecast value = 30.193235496222382 actual 25.779492239499806 error 4.413743256722576
idserie,33, true last 0.1892792557355013 forecast,0.01918217225469742, error 0.17009708348080388 forecast value = 18.10549150965481 actual 17.16883930244431 error 0.9366522072104999
idserie,34, true last 0.1892792557355013 forecast,0.023716904859618155, error 0.16556235087588314 forecast value = 23.560753500366776 actual 22.24946799888922 error 1.3112855014775562
