series,model,true,fcast_50,fcast_avg,fcast_05,fcast_95,yar,yhw,ysvm,ylstm,ymlp,yrf,yxgb,yarima
0,AR,23,18.751956847905895,20.909103862880293,9.922684674532684,38.36033453724319,21.488634858535455,23.68305320272553,24.437886602213716,22.90628205817118,24.633782051908007,31.413899876916187,36.840131050388095,-1
1,AR,21,21.39273587795614,21.889785832533597,15.16389514879665,29.166771227187194,22.90880826618168,22.91583718084074,23.439641485460232,22.86339966042001,23.067919259480444,23.047331422737024,22.999975688104616,-1
2,AR,25,26.599713833371553,26.53452179135434,15.235529277292986,38.2939704380088,23.169780544441196,24.27063921936731,25.132689404514306,25.042872732105536,24.42825882202715,32.19496399831562,37.94818505371288,-1
3,AR,18,19.57457589984741,20.460017916301826,8.23461165323926,44.77921162022634,25.84966279128407,26.79766471111367,27.808430982062273,26.3557326442971,25.990994775295132,31.762354876114756,34.29018703673479,-1
4,AR,17,16.68697946231315,17.45715527632651,11.591478193297862,25.44338488623783,14.382077346071277,15.16912508591739,15.331973361167085,15.316193281511525,15.223205299660393,18.14204424489975,20.75911034377313,-1
5,AR,15,13.39528145494228,14.640144270883647,7.082378403361522,29.99779567444264,8.153479871442618,8.783925392648838,8.804670252004158,8.193417592614669,7.5253694318364746,11.40229755782373,14.996541153502227,-1
6,AR,16,13.925100386798793,15.688828511428474,7.555403229153788,30.374164839287147,9.650618808505124,10.936962179214301,10.546016373797125,10.460456925397592,9.53020482326297,14.15040231665862,17.31090978881204,-1
7,AR,12,11.678951452988033,12.286536708924027,6.462438053361444,20.462051911403606,9.228938666899484,9.620872088100846,9.794980983420565,9.602860304363494,9.83779412221661,11.099305631227011,12.188001294609446,-1
8,AR,25,24.162756436526323,24.556132865713572,15.977775741133886,33.83094577478052,22.325036897290026,22.55244124034995,23.166168287694745,23.52401237765331,23.278529205138,25.990644801982643,28.72612228472103,-1
9,AR,16,13.513367862895464,14.79172295787188,6.81021165855556,24.868643670855597,7.061044247415593,7.684572560496739,7.572259707229503,7.905214704944553,6.789758336789014,9.451917837210846,10.783157566263677,-1
