series,model,true,fcast_50,fcast_avg,fcast_05,fcast_95,yar,yhw,ysvm,ylstm,ymlp,yrf,yxgb,yarima
0,YW,23,20.24212075932029,21.579569418655407,11.998962688047666,35.59082321812921,20.26230029584761,22.33148537417755,23.043241238437293,21.6213640502949,20.066270068756687,29.621140521959965,34.73770219446217,-1
1,YW,21,20.732918565713753,21.453790594529668,16.00390415307518,28.660245510725673,18.326379200254976,18.33200213248034,18.75103031067314,18.30888429284863,18.719990012529053,18.437193689841376,18.39931048177152,-1
2,YW,25,23.516039154368922,24.152439105357296,12.890462940715716,39.21013749749314,45.09985912646816,47.242674871090735,48.92065116623707,49.17653310186583,42.91682464585154,62.66733248166672,73.86594779112842,-1
3,YW,18,18.120907624424262,19.17090728593633,9.520205804347086,32.4569150456381,20.570418848595097,21.324811543688348,22.129150288805537,20.93356257165416,21.52241034864383,25.275569306060635,27.287145501183616,-1
4,YW,17,16.955277474225856,17.225799812242727,11.57411342640082,23.363974088234475,17.11748182956063,18.0542223975775,18.248043666152068,18.234745777654666,17.70995433042201,21.59257701377803,24.707396960596174,-1
5,YW,15,13.576048214390257,14.915141956034772,6.0579765446296525,30.18214449911102,12.495978674614143,13.462196034653315,13.49398949170237,12.585466820857096,11.479519372049998,17.47509889896378,22.983616983404733,-1
6,YW,16,13.767144919418959,14.859487846110673,7.10747996262368,29.617491983050027,14.117016174145117,15.998691391608165,15.42681217400135,15.459040604265875,15.471573307163535,20.699341911513468,25.322562037416198,-1
7,YW,12,11.596784963087936,12.076503304882236,7.6282088000768455,19.40044734551312,12.192304696614194,12.710085978882738,12.940100368824561,12.706730608083424,12.989799704162438,14.66323713496181,16.10150752865818,-1
8,YW,25,23.740171761205286,24.84930168886827,18.54355984424159,35.53120326783192,19.966582299702864,20.169963259223234,20.71885514962671,21.061598615615324,20.70434463965159,23.2449491953191,25.691446217445407,-1
9,YW,16,11.97432405759616,12.988474959750477,5.1070401346289325,23.845493399573883,15.365755679141488,16.722634813678546,16.47822737308047,17.277449080463683,15.983239436684098,20.568609273204732,23.465561014369545,-1
10,YW,19,19.59513881813136,19.878850227077773,13.520713515298104,26.932253249591458,18.8408003771438,19.20154451540345,19.269398619512085,18.862244796079935,19.69048171549883,21.06181741347408,22.159888634933164,-1
11,YW,12,11.061396144115713,12.122901232190328,4.211660086778575,23.64136626106603,18.418115433939487,21.580516319600676,19.643595874728778,19.209692513728577,19.547757638815334,25.327831874600285,31.49197795731,-1
12,YW,23,17.398652821333762,19.8617538188643,9.652233870631767,39.354558577308794,18.313384737700925,18.523722966530624,19.609279305245526,20.42537369584007,19.845865110304512,26.18889893972779,32.586612011536104,-1
13,YW,23,19.193586618499104,20.472837555179446,11.260520273402696,33.995570069857635,17.606810904518834,19.35518114578779,20.607402759253233,20.081565373593588,20.498235986215008,25.4251272210548,32.36723559719034,-1
14,YW,25,21.472806068352035,22.569121773253656,11.488903507634365,36.92497460682738,26.051697720374,27.38220141800785,27.051808914743866,25.25692841165796,25.857392259070192,30.474523818894717,32.330275791707564,-1
15,YW,19,21.16841796648114,22.656770540679734,8.559188964663347,48.78077693623894,68.19039568148256,72.57002296005743,74.92351605140779,70.4752751242893,68.8081459494049,79.40465718514949,91.57907610790498,-1
16,YW,18,20.599721093618317,20.8669278278357,10.834604657978504,32.060006747528945,21.599908360280303,23.035782948708285,23.64358355924,22.487492819870216,20.02028676297325,26.08561779722851,30.133415571393595,-1
17,YW,13,11.965495800194203,13.634046257678413,4.430626089120592,27.73065138560181,8.08671547373268,8.480125736017541,8.990708304802984,8.22374067259407,8.644203285569883,11.397199883521305,13.150296160235603,-1
18,YW,14,14.8842868837053,16.76635779743543,9.082822706963055,32.33204867763429,12.88547553506648,13.78017900929876,13.257997472178623,13.377734377011702,12.533909667448619,16.61837085924637,19.26003910840448,-1
19,YW,10,10.187880596040767,11.334012665912505,5.233676981675053,19.32469318062218,11.008690218394882,11.220317369675204,13.72247971432077,11.837898760835728,11.594794802367572,12.872315159830114,15.832366787493394,-1
20,YW,24,25.16464744188024,26.26052968255985,15.50620607554123,42.02243207826851,23.258035790405103,24.128111083415078,23.954417626255594,24.720827906815643,23.42240264276183,27.01247550539131,29.460178619258194,-1
21,YW,24,19.936478338809998,23.191189888257565,7.506976562152488,52.81740309578994,43.55219699663519,49.39692718425896,45.31531276117831,46.94167195774076,36.5082688467476,56.90924887884705,61.66609985829655,-1
22,YW,31,29.232158418475912,30.131617352725097,18.66801711074778,43.15423058796181,37.32898703253611,37.02304934640329,37.73194147879828,37.462785951877166,36.559678870970664,37.9479732571111,36.70766076855016,-1
23,YW,16,16.533453521362432,16.477320279293952,10.80403247739192,24.70780288052199,13.644820334277204,14.826202331608098,14.896651868637838,14.072142603941774,12.951787626310068,16.904566697325212,19.884466769749324,-1
24,YW,14,11.936984311012303,14.967864039226255,5.731156504700399,40.152332319090654,4.730366951063631,5.796872542445825,6.5771509798291,5.536113200573545,5.547785906958099,9.777196795663789,15.313599844847197,-1
25,YW,17,14.971870024177056,16.213466325144378,8.536127384876673,27.854680923623736,10.981888330272364,11.3760288999524,11.349339626011798,11.08326057809887,11.595390651218205,13.306981316028555,14.78800960913861,-1
26,YW,14,13.12015971571348,13.912248760796277,8.74793686366849,22.09003899733662,15.503236522252044,16.32630096859945,16.571579180771558,16.052520616530202,14.285211133235737,19.921833927794328,23.689546071190037,-1
27,YW,16,16.814195538142943,18.35639502746225,8.147718534254187,31.698373135195588,13.897977294203717,15.496723826801322,15.355388638037141,13.62056366073364,12.761598573935787,15.8995864131799,16.271113359350675,-1
28,YW,10,9.590642647041049,10.024604464509133,4.686434385114261,16.356818857583054,10.852386306229565,11.393019468531218,11.295964460507566,10.651423015837324,11.325986978552802,12.778333873018283,14.803797854844731,-1
29,YW,21,16.112505607043918,19.027661078301612,10.797719580241692,34.40480221945316,11.542140293205742,13.150904506934795,12.792583521558585,12.338605813950483,12.581831861151281,15.418865879863874,17.11887148020124,-1
30,YW,9,9.699990211880424,9.903546676812585,6.093448334233869,13.496141658366996,7.366043889155401,7.484085786594228,6.962599179444756,7.3130171564089945,6.992885483247395,7.59396584264492,7.630802041534736,-1
31,YW,12,9.988623949439404,11.901596243231332,5.1478802503359775,25.555822844090123,5.489546338468131,7.057652700176067,6.5457282805019545,6.771859160823542,5.036930300169428,9.180711863526598,12.472568200436955,-1
32,YW,12,11.865568038435224,12.594891025887394,7.308777940257647,22.190722154709967,9.140660181477905,9.766050653511133,9.288872858475361,9.655055260740083,8.556632358504078,9.45956038963116,9.298065158698353,-1
33,YW,23,20.324066291347748,22.38964924766897,12.881845595821183,38.46716655982981,21.551743526119225,22.092018687081787,23.259585067301018,21.660677950658325,21.86869772343778,26.19874199277611,28.70533244704381,-1
34,YW,11,10.362594959963674,11.853903016540668,4.96725699895659,24.12459848106051,4.164195456054262,4.390827960527189,4.585668168841096,4.399537661380509,4.331229645670818,4.855338207624987,5.557758194604989,-1
35,YW,17,17.050963589476872,17.56469910198235,12.9294567936438,26.552519681648704,18.21203150477178,18.33909986157383,19.574802617712304,18.057123029903682,17.501533736079345,20.752962196926813,22.03729160644383,-1
36,YW,27,29.562726445613656,30.932670164897992,22.499149543997913,42.632568266781774,18.84758939028196,19.32289246608663,19.156873110127673,19.155047783167014,19.430620142621144,19.96908993140633,20.63601719938794,-1
37,YW,22,17.677800547432636,18.94775635850009,9.564696994558023,38.91596560048583,18.05979768657563,18.306220588011456,18.276796363167104,18.828968595516603,18.977650316764084,21.662310925488985,22.93698103839719,-1
38,YW,16,18.117930626219252,20.407396369532268,9.066937699683585,41.531814938805006,32.37966825095363,31.487326614838764,35.12713692944682,36.44562208883313,33.80255959902625,34.70513052526984,37.340436880038816,-1
39,YW,20,19.248660607830047,21.130664249024953,9.976846586060592,44.169312869777706,31.306334692106873,32.078736107217594,34.016407464664105,32.78738242526077,30.493754979720393,47.10400207737847,54.00831986052481,-1
40,YW,12,10.38270376062617,11.928172711374655,5.7591217709473845,21.05027929117542,30.471604958628358,32.44110631271619,35.91696325933411,32.58827752761861,32.585847890147654,39.44022143598462,51.870055606877386,-1
41,YW,10,10.718727863982025,10.823739338698358,6.521438502757366,17.21805122326704,12.801045549392962,13.032953659682866,12.69667476190722,13.335585469728429,12.91879979216917,12.90392695259537,12.836235108462226,-1
42,YW,16,16.471763389302353,16.578682056359277,10.533974408286136,23.401974731212995,12.887249963298324,13.49774386120038,13.425960130918469,13.123189093180056,12.226082759954387,14.657021413347538,15.6353409068638,-1
43,YW,23,21.449330654698056,21.786980345683197,11.381084613825168,33.54196447114853,13.613450555321267,14.313131003622525,12.836336531064617,13.365871902208804,12.596445742928172,14.038740550453564,13.277401923013654,-1
44,YW,13,13.407957780630197,13.422138942652488,9.073260953287159,20.16905055519645,12.075456297271549,12.604366484967063,13.41383818589825,12.02941258333203,12.453769867477533,13.843714869093102,15.337761830296111,-1
45,YW,15,12.969219554074238,13.29044241159639,8.062458656512039,19.936417597464175,22.916411746241216,25.204548602571343,25.846091025861853,23.473884209032178,20.885491315863337,29.038200356407604,34.54289242181393,-1
46,YW,18,17.532952537891447,17.692499143336622,13.82183449646443,22.166162468991523,14.842708637165495,15.462667538519037,14.43711005904065,14.449911719149764,14.033658724663974,16.293106724988164,17.295256156486204,-1
47,YW,5,4.80763978389503,4.832757736154915,2.254685195256084,7.996445365609423,4.153297954992431,4.464529509543446,4.360223018303844,4.337722395123963,4.384133172177499,4.4883097884497,4.484984209468072,-1
48,YW,12,11.389580373648183,11.7833390241817,7.517759134956233,18.780232635335807,9.493285441056985,9.96372955131293,9.994654498481955,9.848779149518535,9.681465158870958,11.400303269362045,12.126421813792735,-1
49,YW,19,16.628064896486407,18.028754666080417,11.004275897156852,29.56466877512814,29.22339201505802,31.29755668560001,30.014816741243585,29.070854692770446,30.103821447143098,35.87689887791229,39.67117383633832,-1
50,YW,26,23.272561310221985,24.11945339647922,13.439225994567519,38.36269431342907,33.05931402182745,34.13130797687833,33.42301765123029,32.724023540252496,32.92379659301587,39.356470914705596,40.509512101430566,-1
51,YW,15,13.098222120562754,13.848746817268301,8.111422692661364,21.219543163639372,11.057164307896315,11.960143710585497,12.353993286556873,11.662185996638806,11.496941318973745,14.354205082735117,17.073537149211145,-1
