series,model,true,fcast_50,fcast_avg,fcast_05,fcast_95,yar,yhw,ysvm,ylstm,ymlp,yrf,yxgb,yarima
0,AR,23,18.16597840714352,19.62154488853072,10.629446565253414,35.784432967908835,16.915252385825813,18.865334412136196,18.593228643269587,17.988518311813607,17.767098101362365,24.81405048036418,28.980485388922304,-1
1,AR,21,22.006031545898214,21.726575176505783,14.99178899460152,28.54786807733034,19.19311716352255,19.007697271384355,18.927893611702217,18.966261992153985,18.643469443019395,19.2145578690115,19.20421354043806,-1
2,AR,25,24.75319664546823,26.53475734002167,13.99340892436533,48.878969624027825,18.63248173741469,19.239553694835667,20.057626037254163,20.11945357709115,16.496461127443858,25.935608635745062,30.57347891884433,-1
3,AR,18,14.368902031491979,15.998866026900975,8.349152724312274,29.409494046037917,11.7381018577279,12.329490759283336,12.615370290282593,12.035087137538474,11.167051339171389,14.46919837165924,15.570268244214297,-1
4,AR,17,16.471452596778054,16.826870449943105,11.493781108541032,23.613903597894975,11.575123230106477,12.309229657086632,12.045802127415072,12.375528101980649,11.250364337874881,14.73754214361346,16.776392090972205,-1
5,AR,15,12.37062058159691,14.03193940755678,7.320511146086242,28.087691967149826,8.916875539479923,9.815061442161042,9.645786629380392,9.046160469263288,8.28889287182873,12.610539517476111,16.48619438076764,-1
6,AR,16,13.063491729879553,14.297479107489774,6.720694282600557,28.3703899506816,8.397941488265335,9.357540560767372,9.113149978478054,8.98858803349986,9.264012019593828,12.351346884216618,14.97147526726567,-1
7,AR,12,11.187179518567996,11.908798408640209,7.501491238609398,19.19249562377908,11.219335684772124,11.668391822034458,11.695499725992404,11.600730083456154,12.325286099908284,13.535936689105108,14.775539412857134,-1
8,AR,25,24.324032940771808,24.88317361914112,17.559904975261244,35.090044001492224,23.112040595195847,23.185223642626717,23.902496283389326,24.31540497458241,23.486591821481845,27.021738689831164,29.711997251415525,-1
9,AR,16,13.35738440889636,13.925014127197413,5.906788718206586,22.784575699313628,8.561981797936735,9.186595083336774,9.158789710303616,9.709682485772305,9.3840674830638,11.497292370413222,13.036856153786784,-1
10,AR,19,19.022616639149017,19.503700546588625,15.345446739892948,25.345695102404164,22.84423645164816,23.8371678150002,23.61756576160482,22.881595132552263,22.173457369754125,25.75357051160653,26.965633728884498,-1
11,AR,12,9.773935291211977,10.541030329164537,4.976199349029671,18.444339083575407,8.512803481191597,10.280260862719613,9.365580132567077,8.913729778109747,7.919659828787837,11.890725185624703,14.655384409128716,-1
12,AR,23,17.279085925821807,18.748405913699663,8.563994105205575,33.58477225553321,16.979259581682104,17.226398682280006,17.691741052957585,18.96502523275228,19.08022984960124,24.20629450849537,30.01071287291817,-1
13,AR,23,20.998549648774528,21.61836816791167,13.356221524934956,31.08657532663365,21.17866788183191,22.65300192252836,23.770968914014762,23.9852815057004,21.82543467009022,30.277239112392582,38.58040683152603,-1
14,AR,25,21.32071377602703,22.86328045424531,14.458041247252057,37.525835490905926,24.47780716143802,25.64292447831294,25.76626528218335,24.01720434452352,25.25145997002601,28.73000107764011,30.42771691209732,-1
15,AR,19,17.30722671450737,18.565929446551714,8.411334383859472,32.23762857977902,14.155259602013595,15.493357553256358,15.84095725269815,15.164235493896577,14.406757583709085,17.00665497509008,19.573293469486813,-1
