26,23,28,22,18,16,18,12,28,17,20,13,26,26,28,22,21,15,16,11,27,28,35,17,17,20,16,18,12,22,9,13,14,24,13,18,30,26,19,22,14,10,17,23,15,16,19,5,14,21,28,16
25,22,27,24,18,17,17,14,27,17,21,13,25,25,28,23,21,14,17,11,27,28,34,17,15,20,16,18,11,22,9,12,15,25,13,18,30,26,21,24,14,10,17,23,14,16,19,4,13,21,27,16
26,23,28,22,19,15,19,13,28,16,20,13,26,25,27,23,21,15,17,11,28,28,35,17,16,20,16,18,11,22,10,12,15,25,12,18,31,25,19,24,14,11,17,23,14,17,19,5,13,21,27,17
26,22,28,22,18,17,18,14,28,17,21,13,26,26,28,24,21,15,17,11,27,28,34,17,17,20,17,18,12,24,9,14,15,24,12,17,31,25,19,23,14,11,16,24,15,16,20,5,14,21,28,16
27,23,28,22,18,16,17,13,28,17,20,14,25,25,29,23,20,14,16,11,27,28,35,16,16,21,17,18,11,22,9,12,15,24,12,18,31,25,20,24,13,11,17,23,14,16,19,5,13,21,28,16
25,23,28,22,18,18,18,13,28,16,20,12,27,25,27,22,20,14,17,11,28,29,35,17,17,20,17,18,11,23,9,13,15,23,12,18,31,27,19,24,15,11,17,23,14,16,19,5,14,21,28,16
26,23,27,22,18,17,17,14,28,18,20,13,24,25,27,24,21,14,17,10,27,27,35,17,17,20,16,18,11,23,9,13,14,24,12,18,30,25,20,23,15,10,16,24,15,16,19,5,14,21,26,16
26,23,27,23,18,16,18,14,28,17,20,13,27,26,27,25,20,15,17,10,27,27,35,17,17,21,16,18,11,25,10,12,14,23,13,18,30,25,18,24,14,11,17,22,14,17,19,4,13,21,26,16
25,22,27,22,18,17,18,13,28,17,21,12,26,27,27,23,21,15,17,11,28,28,34,17,17,20,16,18,11,24,8,13,15,25,12,17,31,25,19,24,14,10,16,23,15,16,19,5,13,20,28,16
26,23,29,22,18,17,18,14,27,17,20,13,26,26,28,24,20,13,17,11,27,28,35,17,17,21,16,17,11,24,9,13,14,24,13,18,30,25,18,24,14,10,16,22,15,15,19,5,13,21,27,17
27,23,28,21,19,16,17,13,27,17,20,13,25,26,27,23,20,14,17,11,28,29,34,17,17,21,16,18,11,23,9,13,15,23,12,18,30,25,19,25,14,10,16,24,14,16,19,4,13,21,27,16
25,22,28,22,19,17,18,13,28,17,20,13,26,26,28,23,20,14,17,11,27,28,35,17,18,20,16,19,11,22,9,14,15,24,13,18,30,26,20,24,14,10,17,23,14,17,20,5,14,20,28,17
25,23,29,22,18,17,19,14,28,18,21,13,25,26,27,23,20,15,17,10,28,29,35,17,16,21,17,17,11,23,9,12,14,25,12,17,30,25,21,23,14,11,16,23,15,16,19,5,14,21,26,16
26,22,28,22,18,16,17,12,27,17,20,12,25,26,27,23,20,15,17,10,28,28,36,17,16,21,17,18,11,23,9,13,14,23,12,17,30,25,19,24,13,10,16,22,15,16,19,4,13,21,28,17
26,23,28,24,18,17,18,13,28,17,20,13,25,25,27,23,20,14,17,10,28,26,34,17,16,20,16,19,11,24,10,13,14,24,12,17,30,25,20,25,14,10,16,23,16,15,20,5,14,20,27,15
25,23,28,23,18,16,18,13,28,17,21,13,26,27,27,23,21,14,16,11,28,29,35,17,17,21,17,18,11,22,10,13,15,25,12,18,31,26,19,25,14,11,17,23,15,16,20,5,13,20,27,16
26,23,28,22,18,17,18,13,27,17,20,13,25,26,27,22,21,15,16,11,28,29,35,17,16,20,16,18,12,22,9,13,15,23,12,17,31,24,19,24,14,11,16,23,15,16,20,5,13,20,27,15
25,23,28,22,18,16,18,13,28,17,20,13,26,27,29,25,20,16,17,11,27,28,35,16,16,21,16,19,11,22,9,13,14,24,12,18,30,26,18,25,14,10,17,22,14,17,19,4,14,21,27,17
26,23,28,23,19,17,18,13,27,17,20,13,25,26,27,24,21,15,17,11,27,28,34,16,16,20,16,19,11,24,8,13,14,25,13,18,31,26,20,24,14,11,17,23,14,16,19,5,13,21,28,15
25,22,28,24,18,16,19,13,28,17,21,13,25,27,28,23,21,16,17,12,27,28,34,17,15,21,16,18,11,23,10,12,15,23,12,17,30,25,19,24,14,10,16,24,14,16,19,4,13,21,26,16
27,23,29,21,19,17,18,13,28,17,20,13,26,25,28,24,20,15,17,11,28,29,34,17,17,21,17,19,11,23,9,12,15,23,12,17,31,25,21,24,15,11,17,23,14,16,19,5,14,21,28,16
