idserie,month,periodo,val
4,22-Aug,43,17
4,22-Sep,44,17
4,22-Oct,45,18
4,22-Nov,46,17
4,22-Dec,47,18
5,19-Jan,0,11
5,19-Feb,1,10
5,19-Mar,2,10
5,19-Apr,3,11
5,19-May,4,11
5,19-Jun,5,11
5,19-Jul,6,11
5,19-Aug,7,11
5,19-Sep,8,12
5,19-Oct,9,12
5,19-Nov,10,12
5,19-Dec,11,13
5,20-Jan,12,11
5,20-Feb,13,10
5,20-Mar,14,11
5,20-Apr,15,11
5,20-May,16,12
5,20-Jun,17,13
5,20-Jul,18,13
5,20-Aug,19,12
5,20-Sep,20,13
5,20-Oct,21,13
5,20-Nov,22,14
5,20-Dec,23,14
5,21-Jan,24,12
5,21-Feb,25,11
5,21-Mar,26,13
5,21-Apr,27,13
5,21-May,28,13
5,21-Jun,29,13
5,21-Jul,30,13
5,21-Aug,31,13
5,21-Sep,32,14
5,21-Oct,33,14
5,21-Nov,34,13
5,21-Dec,35,16
5,22-Jan,36,15
5,22-Feb,37,14
5,22-Mar,38,13
5,22-Apr,39,15
5,22-May,40,14
5,22-Jun,41,14
5,22-Jul,42,16
5,22-Aug,43,14
5,22-Sep,44,15
5,22-Oct,45,16
5,22-Nov,46,15
5,22-Dec,47,19
6,19-Jan,0,13
6,19-Feb,1,13
6,19-Mar,2,13
6,19-Apr,3,13
6,19-May,4,14
6,19-Jun,5,14
6,19-Jul,6,14
6,19-Aug,7,13
6,19-Sep,8,14
6,19-Oct,9,15
6,19-Nov,10,14
6,19-Dec,11,15
6,20-Jan,12,14
6,20-Feb,13,13
6,20-Mar,14,14
6,20-Apr,15,13
6,20-May,16,15
6,20-Jun,17,15
6,20-Jul,18,15
6,20-Aug,19,15
6,20-Sep,20,14
6,20-Oct,21,14
6,20-Nov,22,14
6,20-Dec,23,17
6,21-Jan,24,14
6,21-Feb,25,14
6,21-Mar,26,14
6,21-Apr,27,14
6,21-May,28,14
6,21-Jun,29,15
6,21-Jul,30,16
6,21-Aug,31,14
6,21-Sep,32,15
6,21-Oct,33,15
6,21-Nov,34,15
6,21-Dec,35,18
6,22-Jan,36,14
6,22-Feb,37,15
6,22-Mar,38,14
6,22-Apr,39,15
6,22-May,40,15
6,22-Jun,41,15
6,22-Jul,42,16
6,22-Aug,43,16
