algorithm,series,error
xgboost,18,2.001146317
xgboost,19,2.000390053
xgboost,20,2.001268387
xgboost,21,10.001297
xgboost,22,2.000528336
xgboost,23,3.001315117
xgboost,24,3.999745369
xgboost,25,1.0013237
xgboost,26,2.9997015
xgboost,27,2.001247406
xgboost,28,0.999972343
xgboost,29,5.000413895
xgboost,30,-1.00023365
xgboost,31,2.999660492
xgboost,32,1.001191139
xgboost,33,6.999599457
xgboost,34,-9.54E-06
xgboost,35,0.999975204
xgboost,36,2.000463486
xgboost,37,5.000623703
xgboost,38,5.001329422
xgboost,39,2.99920845
xgboost,40,3.000496864
xgboost,41,0.999680519
xgboost,42,1.001292229
xgboost,43,2.000246048
xgboost,44,-1.000386238
xgboost,45,1.999564171
xgboost,46,1.999698639
xgboost,47,-0.000248432
xgboost,48,0.001367569
xgboost,49,2.000051498
xgboost,50,5.001091003
xgboost,51,2.999436378
