model,bias,mape,me,mae,mpe,rmse,acf1,corr
fcast_50,-56.01493503,0.086297742,-1.077210289,1.592099232,-0.057844446,2.253200195,-0.064938354,0.932320802
fcast_avg,2.471513602,0.066063714,0.047529108,1.179285544,0.008122702,1.650093583,0.039526669,0.953818583
fcast_05,-403.9186915,0.449687839,-7.767667144,7.767667144,-0.449687839,8.429955884,0.001964159,0.800538916
fcast_95,606.5401037,0.691941122,11.66423276,11.66423276,0.691941122,12.94669359,0.231780226,0.831910119
yar,-58.65869592,0.247140859,-1.128051845,4.360996123,-0.071694096,6.305363343,0.028937467,0.667459786
yhw,-13.32458171,0.244978013,-0.256241956,4.334345547,-0.01857008,6.393094913,0.055130466,0.660915613
ysvm,-5.748698655,0.238899978,-0.110551897,4.183579467,-0.007132643,6.387466998,0.107738497,0.653406789
ylstm,-30.21341786,0.236633029,-0.581027266,4.148205066,-0.038421556,6.344485184,0.070776296,0.665537261
ymlp,-47.05423932,0.239922184,-0.904889218,4.215278589,-0.052737085,5.991531043,0.040619065,0.669843401
yrf,127.0309989,0.284175697,2.442903825,5.005734313,0.135836007,7.478760488,0.082263227,0.668821895
yxgb,252.0896807,0.380769002,4.847878475,6.523188924,0.284674517,9.462681224,0.136659265,0.614739747
yarima,-39.59130834,0.250924837,-0.761371314,4.441738429,-0.045412918,6.827600931,0.0474571,0.624547386
,,,,,,,,
,,,,,,,,
model,bias,mape,me,mae,mpe,rmse,acf1,corr
fcast_50,-0.56,0.09,-1.08,1.59,-0.06,2.25,-0.06,0.93
fcast_avg,0.02,0.07,0.05,1.18,0.01,1.65,0.04,0.95
fcast_05,-4.04,0.45,-7.77,7.77,-0.45,8.43,0,0.8
fcast_95,6.07,0.69,11.66,11.66,0.69,12.95,0.23,0.83
yar,-0.59,0.25,-1.13,4.36,-0.07,6.31,0.03,0.67
yhw,-0.13,0.24,-0.26,4.33,-0.02,6.39,0.06,0.66
ysvm,-0.06,0.24,-0.11,4.18,-0.01,6.39,0.11,0.65
ylstm,-0.3,0.24,-0.58,4.15,-0.04,6.34,0.07,0.67
ymlp,-0.47,0.24,-0.9,4.22,-0.05,5.99,0.04,0.67
yrf,1.27,0.28,2.44,5.01,0.14,7.48,0.08,0.67
yxgb,2.52,0.38,4.85,6.52,0.28,9.46,0.14,0.61
yarima,-0.4,0.25,-0.76,4.44,-0.05,6.83,0.05,0.62
