,idserie,avgorig,stdorig,adforig,avgdiff1,stddiff1,adfdiff1,avglogdiff,stdlogdiff,adflogdiff,avgBCdiff,stdBCdiff,adfBCdiff,BClambda
0,0,19.452380952380953,2.206077978075905,2.96431225058747e-08,0.14634146341463414,1.6901576721044307,8.013957269981944e-11,0.007767164173622803,0.0831070929114196,5.402791250733754e-11,0.018922849299686743,0.20678975576905786,6.023375391277372e-11,0.30359194413491564
1,1,22.0,0.7237468644557459,0.0005604239222452615,0.0,0.8553989227683015,0.00022343442729431368,0.0,0.03807444142726058,0.00031912964032985975,0.0,3.743867557691721e-10,0.0026164366409383672,-5.936467397976444
2,2,21.333333333333332,2.0079208230769536,6.111020912946893e-05,0.12195121951219512,1.5332910873660208,3.2392449912473997e-07,0.005697923199548914,0.06733664181879086,1.0462006169428778e-06,0.0011522621736953266,0.013237231687941825,1.6771026388937403e-06,-0.5223346224134122
3,3,17.333333333333332,1.5685399135238671,0.004620327579575495,0.12195121951219512,1.3827353934691087,2.1345912139694502e-07,0.007016635913458068,0.07661642193599008,1.5018586410683727e-06,5.096308319899249e-05,0.0005319272067330319,1.3508879665229351e-05,-1.7305159261294927
4,4,17.214285714285715,0.5578749768504753,5.313984592884007e-08,0.0,0.8263938705413374,0.0023536378131562724,0.0,0.04729693726382582,0.0019249354752633625,0.0,1.1469613417750057e-08,0.0005346083251072745,-5.336994145211895
5,5,12.5,1.4351041110399654,0.0011698162442316858,0.07317073170731707,1.0214825166522892,0.007465249918272509,0.00588200138577775,0.07995114797616404,0.007603947665422174,0.013682356555560533,0.18723724391845809,0.007615375732474805,0.3350986404515248
6,6,14.380952380952381,1.0224243120754233,0.013736004424276348,0.04878048780487805,1.2869176544656507,0.0030674224011295876,0.003490264479040813,0.08472618240583754,0.004485703106372141,2.675846822588425e-07,5.140637371401158e-06,0.009206632071989174,-3.5983601139575727
7,7,12.357142857142858,0.5265081997022852,3.0343528502452435e-06,0.0,0.8263938705413374,0.014614003386738076,0.0,0.06545554537178605,0.016198662617860803,0.0,0.0,0.009206632071989174,-24.82488833486085
8,8,24.547619047619047,0.9808252344783801,1.0951636649944676e-10,0.04878048780487805,1.1466009047359178,5.704626595179636e-06,0.0020336977790012412,0.04583152117341541,1.0091324539093193e-05,4.1036665095838555e-09,7.884920160506947e-08,6.263387335733394e-05,-4.128944049910196
9,9,12.404761904761905,1.55929660286028,0.00132551668811751,0.0975609756097561,1.2455751546149956,5.0844179645967085e-05,0.008206639917590549,0.09575567724021544,8.63077275805813e-05,0.026519204598685238,0.32236965359963227,6.517335307212928e-05,0.47428147028920964
10,10,20.404761904761905,0.7257024121013415,0.0003303828938768173,-0.024390243902439025,0.7152623560300089,0.0002825838181211861,-0.0011900040041324918,0.0348680840999799,0.000323167475636307,-0.07879137319103115,2.3125807979060764,0.0002654900842284866,1.388238045030609
11,11,10.69047619047619,0.739629741286146,1.1776111675958647e-05,0.024390243902439025,0.9496547479966724,0.0013131889766667927,0.002324638531812799,0.08706892754107537,0.0022429168589424833,0.00010995131916036994,0.003965091778277407,0.0041224757440649915,-1.298556764278633
12,12,16.595238095238095,2.7865281676353,0.014153669506816664,0.14634146341463414,1.7329092359347915,0.0015713126676006122,0.009255844431826915,0.09622815514789078,0.0011896269958802288,0.01012070976846086,0.10561289862687634,0.0012111789169440802,0.03242548888782681
13,13,20.476190476190474,1.802618402928352,0.0003736332424003563,0.14634146341463414,1.4238555628611147,0.03959498047930484,0.007372704192022768,0.06754702613545786,0.03305913666864921,0.0015517299228912447,0.013792478229494332,0.030823157195621124,-0.522543116628662
14,14,22.523809523809526,1.5620209016054023,0.00288331028117036,0.0975609756097561,1.2650051199892625,0.003691736831264083,0.004446867238876949,0.05438284083586067,0.010007385169449188,5.9249537236252475e-05,0.0006790370937921825,0.028785852893466753,-1.3997600129166237
15,15,15.666666666666666,2.606463273029335,9.413613976751578e-07,0.21951219512195122,1.7322225272746052,1.271927474100537e-05,0.013649165559400553,0.10473283974183309,9.837251113034711e-06,0.04870272219274876,0.37833190526791866,1.0661296212745437e-05,0.4591098250844138
